Ticker,Sector,P/E,FreeCashFlow,SharpeRatio,FreeCashFlow_Pos,FreeCashFlow_Log,P/E_Pos,FreeCashFlow_Score,P/E_Score_raw,P/E_Score,SharpeRatio_Score,FinalScore,Rank
IBM,,42.89855,13859999744.0,1.020612837382433,13859999744.0,23.3522728123099,42.89855,0.756338015191143,0.08291939299051229,0.9170806070094877,0.5722651698720905,0.7493389391409306,12
MCK,,27.9324,5157624832.0,1.3989158782168407,5157624832.0,22.36374200678545,27.9324,0.6311171355488894,0.049966856897729624,0.9500331431022704,0.6795705268290253,0.7413279551989445,13
T,,16.577143,12400000000.0,0.7467072399434238,12400000000.0,23.240962309638046,16.577143,0.7422378991602663,0.024964801182978464,0.9750351988170215,0.4945720647866341,0.7377773387452031,14
AMZN,,35.340458,31024001024.0,0.3453632386592146,31024001024.0,24.158026968485643,35.340458,0.8584058957749952,0.06627795217757296,0.9337220478224271,0.3807311577050077,0.7376983199682285,15
V,,33.327805,18054000640.0,0.6498579856691246,18054000640.0,23.61663313932697,33.327805,0.7898255226179138,0.061846483788926085,0.9381535162110739,0.46710085076204044,0.7375065191390998,16
GEV,,151.49757,3577999872.0,2.5285840281694707,3577999872.0,21.99806978653825,151.49757,0.5847960731963636,0.32203320156458287,0.6779667984354172,1.0,0.7373084688091707,17
ACGL,,9.141675,8082999808.0,0.8724295690952705,8082999808.0,22.81302890406828,9.141675,0.6880299805255786,0.008593354442385154,0.9914066455576148,0.5302331035595192,0.7317039169453716,18
MA,,39.36388,15459624960.0,0.7005786737506738,15459624960.0,23.461497621143913,39.36388,0.7701739286138876,0.0751367407552296,0.9248632592447704,0.481487733636911,0.7299748693100594,19
NFLX,,52.345135,22694656000.0,0.5349978670391393,22694656000.0,23.845395315260344,52.345135,0.818803679635545,0.10371892614807382,0.8962810738519262,0.43452086937325374,0.726762054821772,20
CB,,12.092275,12818124800.0,0.5142591080522616,12818124800.0,23.27412600636738,12.092275,0.7464388681674311,0.015089998736032123,0.9849100012639679,0.4286383368643362,0.7226400487054636,21
WMT,,38.615093,8344999936.0,0.9745702787973548,8344999936.0,22.84492838651078,38.615093,0.6920708067995393,0.07348805818534312,0.9265119418146569,0.5592052347119473,0.722543475677797,22
CVX,,20.130156,14433874944.0,0.4965715925511681,14433874944.0,23.392843707640434,20.130156,0.7614772816386547,0.03278784111780646,0.9672121588821936,0.4236212871458357,0.7218409464638706,23
GILD,,22.636904,8835000320.0,0.7926973837742017,8835000320.0,22.901986979050836,22.636904,0.699298631273076,0.03830721009015478,0.9616927899098452,0.5076171325433656,0.7205124292451937,24
GE,,42.897438,5185500160.0,1.2614945102927497,5185500160.0,22.36913213704218,42.897438,0.6317999234279943,0.08291694458393242,0.9170830554160676,0.6405910650037117,0.7200222054971315,25
ABBV,,106.444984,20039749632.0,0.9253434258635517,20039749632.0,23.72098361972176,106.444984,0.803043986699258,0.22283621595116895,0.777163784048831,0.5452420769898277,0.7179393529913008,26
CEG,,34.468746,3516250112.0,1.391795726895076,3516250112.0,21.98066094990485,34.468746,0.5825908310080575,0.0643586127921925,0.9356413872078075,0.6775509015638301,0.7169940190347143,27
MO,,12.551257,7045499904.0,0.8016037561016386,7045499904.0,22.67565493861565,12.551257,0.6706283085718185,0.01610058735908732,0.9838994126409126,0.5101434179776012,0.7164641726142815,28
AIG,,14.388786,13437875200.0,0.41329984525039004,13437875200.0,23.321343064379366,14.388786,0.7524200288002995,0.02014646694027786,0.9798535330597221,0.4000013221864503,0.7149244680939715,29
