Ticker,Sector,FreeCashFlow_Score,P/E_Score_raw,P/E_Score,SharpeRatio_Score,FinalScore,Rank
LOW,Consumer Discretionary,0.6671422215561951,0.0363273541086884,0.9636726458913116,0.3531917108054708,0.6619161956315127,68
QCOM,Information Technology,0.6384731920741754,0.0239257035955383,0.9760742964044616,0.3771869736949911,0.661367657859506,69
MCD,Consumer Discretionary,0.6375982274034464,0.0455158717141871,0.9544841282858127,0.3971869042610093,0.6605406007254252,70
APH,Information Technology,0.4975674302958612,0.0967555103140514,0.9032444896859486,0.6349390861026891,0.6604820448549358,71
ELV,Health Care,0.7385899743593004,0.0177830037753857,0.9822169962246144,0.2301537556057659,0.6591472152928343,72
VRTX,Health Care,0.5588200076532618,0.0484619939945606,0.9515380060054394,0.499131474905436,0.6587288473345674,73
BLK,Financials,0.648585756883036,0.0492902247671148,0.9507097752328852,0.3769581465045287,0.6577346792744386,74
CI,Health Care,0.6129385349466745,0.0235346146804952,0.9764653853195048,0.3981129118574595,0.6575489031317591,75
PFE,Health Care,0.7746684767791603,0.0164595453413787,0.9835404546586212,0.1724768581575611,0.6566725845565189,76
MPC,Energy,0.4887747178658935,0.0478178869196991,0.9521821130803008,0.5788386473883484,0.6548161152869522,77
TT,Industrials,0.5317391356697935,0.0590096722936818,0.9409903277063182,0.529495384939541,0.653841368061675,78
LMT,Industrials,0.5931402993040745,0.046867944799194,0.953132055200806,0.4340451312626028,0.6534092756606524,79
AZO,Consumer Discretionary,0.4763784912501159,0.0501407245901623,0.9498592754098376,0.5907394050030301,0.6527310006239067,80
EOG,Energy,0.5859590406888928,0.0132381424561068,0.9867618575438932,0.406363666933893,0.6523212736188929,81
ETN,Industrials,0.5292731757243128,0.0715877269780237,0.9284122730219764,0.5389901387145758,0.6519299938106907,82
LIN,Materials,0.5838588503622536,0.063371882922464,0.936628117077536,0.4545986858356856,0.6509115810188679,83
KR,Consumer Staples,0.5447210516919466,0.025113482433984,0.974886517566016,0.4680797973613737,0.6507783151549955,84
RTX,Industrials,0.5537715646888434,0.0648716552536792,0.9351283447463208,0.4952493232511902,0.6506219262747907,85
ABT,Health Care,0.6485750642511763,0.0260477917426933,0.9739522082573068,0.3284588604346239,0.6501533463080497,86
OXY,Energy,0.6142675572363073,0.0481729256900192,0.9518270743099808,0.3890242255042713,0.6479624128387985,87
SMCI,Information Technology,0.4703056810023756,0.0485036675479213,0.9514963324520788,0.5801631620080028,0.6476201207389747,88
UAL,Industrials,0.5301141295034617,0.0119429904204727,0.9880570095795272,0.4621065206150225,0.6470947108597496,89
FI,Financials,0.6102270437294544,0.0369932392316447,0.9630067607683552,0.3773658055408462,0.6462025873845422,90
URI,Industrials,0.529348610130637,0.0421709542030965,0.9578290457969034,0.4869397824009291,0.6451700925116046,91
FOXA,Communication Services,0.5436233072052767,0.0156491623959256,0.9843508376040744,0.4377334969659858,0.6440746232531287,92
ORLY,Consumer Discretionary,0.4559764278855714,0.0701914438608972,0.9298085561391028,0.6091360573033147,0.6440739551869538,93
NRG,Utilities,0.51846670568404,0.1444516374461011,0.8555483625538989,0.5969094466856574,0.6431240250454828,94
DELL,Information Technology,0.4953534219694249,0.0308748209112786,0.9691251790887212,0.5134514765191702,0.6429143654701375,95
FOX,Communication Services,0.5436233072052767,0.0129271772060287,0.9870728227939712,0.4306707847040106,0.6427724051315052,96
COR,Health Care,0.4554315096281813,0.0540264999587139,0.945973500041286,0.5886575780538633,0.6425619272798173,97
NOC,Industrials,0.5380639662407681,0.0350223732178633,0.9649776267821368,0.4585662545720316,0.6422887509025578,98
MMC,Financials,0.6093551283655199,0.0405410266037561,0.959458973396244,0.3642436634887955,0.6408528424117197,99
TDG,Industrials,0.4853768931451286,0.0821521742200516,0.9178478257799484,0.5643296906168,0.6388040121770759,100
CVS,Health Care,0.6466235431270345,0.034414809491928,0.965585190508072,0.3015009909114383,0.6387752716766669,101
