Ticker,Sector,FreeCashFlow_Score,P/E_Score_raw,P/E_Score,SharpeRatio_Score,FinalScore,Rank,Momentum_1m,Momentum_3m,Volatility_30d,Trend_50_200,Momentum_1m_Score,Momentum_3m_Score,Volatility_30d_Score,Trend_50_200_Score
WMB,Energy,0.3545002479725457,0.0553088418958933,0.9446911581041066,0.5761127860202544,0.5980412824263266,170,0.10801849838126643,0.06899156709453069,0.011858460607417277,1.0328537800399384,0.48613727361150716,0.2935636850514388,0.11132434905459546,0.42691016485833605
EXPE,Consumer Discretionary,0.494850324597254,0.0487788887040987,0.9512211112959011,0.3811311014720814,0.5976457936692965,171,-0.011233897217722721,0.24143521070732077,0.01987387774406645,1.1702727283648908,0.3444263972409017,0.39503189088052115,0.21630678178286583,0.5740304172106677
NDAQ,Financials,0.5048843320465735,0.0643173377654424,0.9356826622345576,0.3821355243799909,0.5972991888029939,172,-0.06474182044527033,0.026812492594040283,0.01426266015903591,1.0965949158660389,0.2808414717116478,0.26874493891831935,0.1428135046893146,0.4951512051389315
WM,Industrials,0.4704120076064888,0.0592631616396586,0.9407368383603414,0.4214608739499523,0.5968241167356836,173,-0.012603317212220522,-0.07683104769699645,0.008771009975636304,0.9863701856207164,0.34279907808672483,0.20775965782138425,0.07088626919836692,0.3771449889160194
SNPS,Information Technology,0.5459198888026188,0.1362963518209123,0.8637036481790876,0.3972728369850735,0.5966609010702958,174,-0.2650554901025306,-0.10602519356352336,0.07970891764481165,1.0446305969315013,0.04280327102343502,0.19058142184974944,1.0,0.4395183844242205
ECL,Materials,0.5190317218086091,0.0665072414905288,0.9334927585094712,0.3611779260104317,0.5960138940794145,175,0.0075045028350195775,0.03790233613589056,0.012259345138946103,1.056866118288571,0.36669374943889493,0.2752703550110313,0.1165749595525318,0.45261769140958463
AME,Industrials,0.4677927590472793,0.0549688722754227,0.9450311277245772,0.4158906767421318,0.5953936449589246,176,-0.015353725255368822,0.028710724793503895,0.01042156139792725,1.0357232487364254,0.33953069314390183,0.2698618847882353,0.09250447080922519,0.4299822081528751
LDOS,Industrials,0.3964626061663665,0.0274385659450151,0.9725614340549849,0.4822124244759727,0.5950172000258338,177,0.03644568396877945,0.27062426267143835,0.01293417146315613,1.1804508390936768,0.4010853448535225,0.4122071295300899,0.12541354000029398,0.5849270674699032
AMT,Real Estate,0.6127090407851216,0.0680223361791083,0.9319776638208916,0.2339411681632529,0.5948592659092921,178,-0.0034277989246155327,-0.09267110276410617,0.011609186660223569,0.9654405614989178,0.3537025968895122,0.19843915209429303,0.10805946777068588,0.3547378054819183
BLDR,Industrials,0.4194411398668586,0.0298824500184768,0.9701175499815232,0.4520989003903408,0.5944413910583026,179,-0.17141117437786313,0.07152850875759209,0.026582351760828613,1.0135509082049998,0.15408336717423124,0.2950564563328315,0.30417144436591675,0.4062445768146439
ABNB,Consumer Discretionary,0.5777018235627148,0.0563577110916081,0.943642288908392,0.2660369637735853,0.593984505229679,180,0.010351475582540237,-0.08800517247096007,0.012726053893814412,0.9567213902030939,0.3700768848554031,0.20118464949535805,0.12268770697744498,0.3454030907502098
CMCSA,Communication Services,0.5847075391746023,0.0,1.0,0.1972427090773969,0.5930558283930599,181,-0.12195444415278567,-0.14362690665400646,0.010754249084633722,0.9451786795405271,0.21285414949199752,0.16845605797169083,0.09686186882030201,0.3330455045060542
CTRA,Energy,0.4552980620547361,0.0129905385335005,0.9870094614664996,0.3824662974866308,0.5929619525078336,182,-0.04402520451215497,-0.10748651590603797,0.01724518364845568,0.9416993309719417,0.30545959183048516,0.18972155973406685,0.18187729466436678,0.32932052592288547
MNST,Consumer Staples,0.4693450083333885,0.076168096798124,0.923831903201876,0.4250711307591185,0.5924089135216538,183,0.11424945589717872,0.12190447434916263,0.013687885735174925,1.099637465415671,0.4935416904852545,0.32469836564531324,0.13528536033223357,0.49840854819818625
FTNT,Information Technology,0.504863543076035,0.0623352733740844,0.9376647266259156,0.3632710274272358,0.5922261434463595,184,0.03832754862694632,-0.18212110187246222,0.01512003610113249,0.8434061214016003,0.40332161598736593,0.14580554536467558,0.15404304029918806,0.2240881546030749
KMB,Consumer Staples,0.5079976306514822,0.0259499919913765,0.9740500080086234,0.3210471774825319,0.5917282079079395,185,-0.06426257062980545,-0.07688171357056117,0.010361912725738671,0.9692876783533284,0.2814109773472273,0.20772984532624283,0.09172321855390142,0.35885651552408376
TEL,Information Technology,0.47426132300814,0.0864001684433269,0.9135998315566732,0.4245607111889112,0.5911526920269313,186,0.07268966645153974,0.3500646290075089,0.011294760227041237,1.2497805707233345,0.44415505842191283,0.45895093100430245,0.10394124768222351,0.65915123915222
AJG,Financials,0.4213845422414325,0.0881284220252543,0.9118715779747456,0.4959248084762538,0.5908927328318728,187,-0.06234953931841902,-0.10181323380976315,0.015704087521887653,0.9544467229434277,0.2836842846657033,0.1930597967569626,0.161692690709636,0.342967839823472
EBAY,Consumer Discretionary,0.4764868544989101,0.0330443733575722,0.9669556266424276,0.3647391652097498,0.5901031793552173,188,-0.01085782136406066,0.18513663588603246,0.016093663511846615,1.2206263935872852,0.3448732984418091,0.36190503703905674,0.16679518686936967,0.627938877613565
HAL,Energy,0.490733309558884,0.0117340061484157,0.9882659938515844,0.3236829779816732,0.5898780153735309,189,0.022967385828496223,0.011181293218736288,0.023581080969007476,0.9869681973929872,0.38506871531874415,0.25954732674578734,0.26486211041234986,0.3777852182578864
MCO,Financials,0.5170090298325227,0.0783204839767047,0.9216795160232952,0.3544232085089672,0.5896344292926878,190,-0.07208005040272891,-0.024091383004753997,0.015796393277897385,1.0315464924297255,0.2721212527755235,0.23879240011466024,0.16290167118507695,0.4255105872494549
SYY,Consumer Staples,0.4900713389751194,0.0370996700565164,0.9629003299434836,0.3421533233421308,0.5875446315757321,191,-0.0137143518991526,0.0836852252969047,0.01120010589603177,1.0747856386632038,0.3414788052454753,0.302209635134751,0.10270150659723302,0.471802268148701
WSM,Consumer Discretionary,0.3964150769102404,0.0370740586668249,0.9629259413331752,0.4668953780371316,0.5875124265751882,192,-0.08484312552767803,0.20027572913688063,0.019949471923382346,1.0928915348717554,0.2569545422699968,0.3708130872162614,0.21729688132595681,0.4911863782131175
AIZ,Financials,0.4379670380741601,0.0219313245117332,0.9780686754882668,0.395042924066208,0.5871202950960065,193,-0.012467529585116544,0.06791884204156062,0.013663367186587892,1.0540798251600003,0.3429604382299784,0.2929324789124802,0.13496422709191053,0.4496346955913256
PSA,Real Estate,0.5368377978706549,0.0553827608758385,0.9446172391241614,0.2960919488133968,0.5869478755295294,194,0.05455901347879344,0.04590000194035593,0.010472961464301937,0.9959720792734295,0.42260990866593606,0.279976291298378,0.093177686428377,0.3874247431600044
VICI,Real Estate,0.4362471026363925,0.0153255015412257,0.9846744984587744,0.3881269659723337,0.5863392803838894,195,-0.06058410612899079,-0.023495575002254188,0.00849192844440237,1.036892466224967,0.28578219710755404,0.23914298171781875,0.06723098119788272,0.4312339683654641
DAL,Industrials,0.4160621210797399,0.0075901484697456,0.9924098515302544,0.4063488861284932,0.5860524697295202,196,-0.031375006334924405,0.22092422395055533,0.019207338045064276,1.09268567483633,0.32049216757835863,0.38296294486203947,0.20757673593269188,0.4909659851688525
SNA,Industrials,0.3694257161577247,0.0280038572267716,0.9719961427732284,0.4885344240958538,0.5859294565238145,197,0.03911796207236917,0.0663962136319709,0.014277389928954899,1.0197413336959635,0.4042608858568169,0.2920365434658112,0.1430064287821298,0.41287202500501485
GM,Consumer Discretionary,0.4668244603880602,0.0082914980574337,0.9917085019425662,0.3386963367529701,0.585851235763885,198,0.0030927887081815264,0.1736711945082745,0.014421266441525327,1.1324454926962038,0.36145118913584556,0.35515861402649324,0.14489086050222583,0.5335327091056069
DRI,Consumer Discretionary,0.4249746218907891,0.0320599553825459,0.967940044617454,0.4161429436808295,0.5852147452458007,199,-0.09998431769074678,-0.12233186137545571,0.018851632815918506,0.9989009409288802,0.238961850383626,0.1809863547816763,0.2029178642042143,0.3905603723516647
CHTR,Communication Services,0.5902698438734295,0.0042944104634821,0.9957055895365178,0.1676242422195152,0.5851068870761817,200,-0.04062453017409873,-0.3667675573396343,0.017644085146978475,0.7790950885231297,0.3095007059588546,0.037157037617859,0.18710193226212785,0.1552369845028181
GEHC,Health Care,0.481495914229238,0.0222637749699104,0.9777362250300896,0.3302339417106171,0.5849894157139072,201,-0.05258444751511726,0.009315746109807899,0.01928011000586259,0.974807838880948,0.2952884097680508,0.2584496132315819,0.20852987129031186,0.36476638035530307
DLR,Real Estate,0.5067912510610543,0.0881721498621932,0.9118278501378068,0.3612592619002892,0.5846426340358505,202,0.07904701743027598,-0.0038459179405506694,0.016857451735306814,1.030734427881036,0.45170967209711077,0.25070510952627995,0.17679895141724652,0.4246411937430581
RL,Consumer Discretionary,0.3627292421091062,0.043369711238671,0.9566302887613288,0.5082857745689219,0.5845665158427177,203,0.0639533645418553,0.23230871949258436,0.016822646963687307,1.1504157965013293,0.43377347242826364,0.3896617382342829,0.17634309372040116,0.5527716544103431
DLTR,Consumer Staples,0.5125850083730876,0.029113214395114,0.970886785604886,0.2927145827544247,0.5841144138570282,204,-0.02977866236452742,0.023670559161496962,0.022970864440683112,1.1370782503571786,0.3223891466863893,0.2668961821792746,0.25686976085120494,0.5384925234869403
FICO,Information Technology,0.3664480839178095,0.1157158651818736,0.8842841348181263,0.5693102398496216,0.5826575459674481,205,0.050578631710950894,-0.10470914127423825,0.04210223812850426,0.8785930832960328,0.41787991237716277,0.19135580507300623,0.5074441373234839,0.261759194707235
LYV,Communication Services,0.497926125088639,0.1412107133623246,0.8587892866376753,0.4190645014233976,0.5825265864537775,206,-0.0838842501007494,0.08078561459266931,0.01568745650988572,1.1176534935177629,0.2580940001097976,0.30050346441371123,0.16147486497843194,0.5176964457776292
GLW,Information Technology,0.4341847653336769,0.1748221614632808,0.8251778385367191,0.5370223979110972,0.5823339770678156,207,0.17103251665856845,0.6815580494863016,0.01891300638303255,1.351987535390078,0.5610185513322334,0.6540062077047647,0.20372170837988215,0.7685736631863501
GPN,Financials,0.562626874638276,0.0209296003535076,0.9790703996464925,0.2098500261519739,0.5817268775948502,208,-0.020051785223049956,0.07926084671528333,0.01921452574377597,0.9710179347186904,0.3339478602631224,0.29960627007483737,0.20767087727101619,0.36070892202412724
EA,Communication Services,0.4945619380855692,0.0837427577751694,0.9162572422248306,0.3621919246056339,0.581359525283367,209,0.19183628443124112,0.3578089425600499,0.02977033927436212,1.1828611195796386,0.5857402363605969,0.46350779135062314,0.34592631238742194,0.5875075054492136
ROST,Consumer Discretionary,0.4473523787347742,0.0395540237102724,0.9604459762897276,0.3789959353119083,0.5807735249744005,210,0.03403558180028776,0.14912226286604247,0.014466848160809481,1.0622088377302967,0.39822135466930725,0.34071368583678685,0.14548786995248986,0.4583375884259386
